"Category","Unique"
"04/22",1
"04/23",1
"04/24",0
"04/25",1
"04/26",1
"04/27",1
"04/28",0
"04/29",0
"04/30",1
"05/01",1
"05/02",1
"05/03",0
"05/04",0
"05/05",0
